req_id,req_title,req_p,req_date,req_content,resp_dept,resp_date,resp_writer,resp_content,page_num
207966,공사장소음,문OO,2025-12-23 10:51:07,동일고충민원여부 동일고충민원여부 선행민원번호 202510140840092264 선행민원상세조회,기후환경과,2025-12-24 17:54:56,김○○,"1. 평소 구정 업무에 적극 참여하여 주시는 귀하께 진심으로 감사드립니다.
2. 귀하께서 2025. 12. 23. 서울시 응답소(접수번호: 20251223900264)로 제기하신 민원에 대하여 아래와 같이 답변드리겠습니다.
가. 민원요지 : 홍은8, 8-1구역 공사소음 민원
나. 답변 내용
- 반복적인 민원 건으로 만족스러운 결과를 도출해 드리지 못한 점 대단히 죄송합니다.
- 해당 공사 현장에 민원 발생 즉시 저소음 장비 사용, 시간 분산 작업, 이동식 방음벽 추가 설치, 장비 저출력 사용, 공사 시간 단축 등을 지시하고 있습니다만, 해당 현장은 전체 암석으로 이루어져 소음 및 진동이 만족스럽게 차단 되는 것이 어려운 상황입니다.
- 이에 기후환경과는 민원인 요청 및 입회하에 철저하게 소음측정을 진행하고 있으며, 12월 10일 홍은 8-1구역 소음측정 결과 생활소음규제기준 초과하여 1차 행정처분 및 과태료가 부과 하였습니다. 앞으로도 원리원칙을 준수하여 생활소음규제기준 초과 시 행정처분 및 과태료 부과하도록 하겠습니다.
3. 귀하의 가정에 늘 건강과 행복이 충만하시길 바라며, 추가적으로 궁금하신 사항이 있으시면, 서대문구청 기후환경과(김준석☎02-330-4904)로 연락 주신다면 친절하게 답변드리겠습니다. 감사합니다. 끝",1
207929,신촌역3번출구 마을버스 시민휴게실관련,정OO,2025-12-22 18:23:33,신촌역 3번출구 마을버스 03.04.05번 타는곳위치에 엤는 시민 머므는 곳에 겨울철 여성노숙자 한분이 24시간 내내 있으셔서 악취로인해 대다수 시민이 이용을 못하고 있습니다.그분도 거취를 도와주셔야겠고 시민 추위등 해결애주십시요,도로과,2025-12-29 13:50:06,유○○,"안녕하십니까?
귀하께서 응답소(서대문구 새올행정정보시스템)를 통해 신청하신 민원(접수번호: 20251222900725)에 대한 검토 결과를 다음과 같이 알려드립니다.

귀하의 민원내용은 신촌역 3~4번 출구 버스정류소 스마트쉘터 내부에서 활동하는 노숙인 보호에 관한 것으로 판단 됩니다.

귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
가, 먼저, 구정 특히 노숙인 문제에 깊은 관심을 가지고 소중한 의견을 보내주신 데 대해 진심으로 감사드립니다.
나. 해당 노숙인에 대해서는 우리 구에서 정기적으로 현장을 방문하여 상담을 실시하고 있으며, 노숙인 보호시설 입소를 지속적으로 권유하고 있습니다.
다. 다만, 현장 방문하여 상담한 결과 여전히 이석, 시설입소 등 거부하고 있습니다. 본인의 동의 없이 강제적인 조치를 취하는 것은 현행 법령상 어려운 상황임을 널리 양해해 주시기 바랍니다.
라. 현재 노숙인 지원센터와 연계하여 지속적으로 관찰 중이며, 우리 구 전담인력을 통해서도 지속적인 상담, 관계 형성 등을 이어가며, 해당 노숙인이 보호와 치료를 받을 수 있도록 적극 노력하겠습니다.

귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가적인 문의사항이 있으실 경우 서울특별시 서대문구 안전건설국 도로과 유영산 (☎ 02-330-1797)또는 행복복지국 생활보장과 전대희( (☎ 02-330-1837) 게 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다. 끝.",1
207859,불법주차관련 불친절한 직원,오OO,2025-12-21 17:53:36,동일고충민원여부 동일고충민원여부 선행민원번호 202509121710450731 선행민원상세조회,주차교통과,2025-12-30 13:24:59,지○○,"안녕하십니까?
귀하께서 응답소(서대문구 새올행정정보시스템)를 통해 신청하신 민원(접수번호:
20251221900162)에 대한 검토 결과를 다음과 같이 알려드립니다.

가. 민원요지 : 직원의 불친절 응대에 대한 인사조치 요구
나. 답변내용
○ 먼저, 우리 직원의 응대로 불편을 겪으신 점에 대하여 다시 한번 사과드립니다.
○ 귀하께서 요구하신 인사조치와 관련하여 그동안 여러 차례 안내드린 바와 같이, 해당 사안은 내부 규정과 절차에 따라 검토되는 사항이며 개별 민원만으로 임의 조치할 수 있는 사항이 아닙니다.
○ 동일 내용의 민원이 반복 접수되고 있으나, 규정 상 가능한 범위 내에서 이미 최대한의 안내를 드린 내용이며, 향후에도 동일한 내용의 답변을 드릴 수 밖에 없는 점에 대해 많은 양해바랍니다.
○ 다만, 귀하께서 느끼신 불편함을 가볍게 여기지 않고 유의하여 민원 응대에 더욱 신경 쓰도록 하겠습니다.
○ 기타 다른 문의사항이 있으실 경우 주차교통과(지성환, ☎ 330-1813)로 연락 주시기 바랍니다. 감사합니다. 끝.",1
206718,서대문구 연희초등학교 후문 언덕 열선좀깔아주세요,박OO,2025-12-05 09:55:59,"연희초등학교 후문 언덕 사는 사람인데요.. 도로열선이 없어서 어제 차타고 올라오다가 죽을뻔했습니다. 여기 어린이집도있고 연희초등학교 후문이 연결되어있어 아이들 통학도 많은걸로아는데 아이들 태운 자동차가 헛바퀴돌고 , 미끄러지는게 맞나요? 언덕 가파른데 열선좀깔아주세요 꼭 차가 많이 다녀야 깔아주시는건가요 심하네요 정말 그늘진곳이라 눈이 잘 녹지도않아요",도로과,2025-12-11 14:31:01,최○○,"안녕하십니까? 귀하께서 응답소(서대문구 새올행정정보시스템)를 통해 신청하신 민원(접수번호: 20251205900162)에 대한 검토 결과를 다음과 같이 알려드립니다.

가. 민원개요
□ 민원위치: 연희동 88-35
□ 민원내용: 도로 열선 설치 요청

나. 답변내용
□ 귀하의 민원내용은 도로 열선 설치에 관한 것으로 판단됩니다.
□ 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다. 서대문구 관내에는 급경사지가 다수 분포하고 있어, 현재 우리 구에서는 열선 선정 기준에 따라 사업 대상지의 우선순위를 정해 순차적으로 사업을 추진하고 있습니다.
□ 귀하께서 건의하신 해당 구간은 사유지가 포함되어있기 때문에 설치가 불가함을 알려드리니 이점 널리 양해 부탁드립니다. 다만, 향후 강설 시 관할 주민센터에 해당 구간 제설작업을 보다 철저히 시행하도록 요청하겠습니다.
□ 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가적인 문의사항이 있으실 경우 서울특별시 서대문구 안전건설국 도로과 최은선 (☎ 02-330-1790)에게 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다. 끝.",1
206492,이면도로 주차허용,김OO,2025-12-01 18:59:16,"안녕하세요 저는 증가로 20나길 사는 주민입니다 다름이 아니라 요근래 들어서 토요일 일요일에 주차단속 때문에 이렇게 글을 적어봅니다 도로가 어린이 보호구역이라서 주차를 하는게 잘못된거 압니다 다들 하루 벌어서 사는 서민인데 딱지 값으로 10만 이상 낸다고 한다면 얼마나 화가 날까요 당연히 어린이들을 보호해야 하는 의무가 있는건 압니다 중요한 요지는 어린이들이 등하교를 하지 않는 토요일,일요일,공휴일 예를 들어 토요일 오전 6시부터 월요일 오전 7시까지 는 주차를 할수 있도록 부탁드리겠습니다",주차교통과,2025-12-08 16:01:49,김○○,"평소 구정에 관심을 가지고 적극 참여해 주시는 귀하께 진심으로 감사드리며, 2025.12.01. 『응답소 일반민원』으로 접수한 민원에 대하여 아래와 같이 답변 드립니다.
가. 접수번호 : 20251201900891
나. 민원요지 : 어린이 등하교 시간외 및 주말에는 주차허용 가능여부
다. 답변내용
○ 우리구에서는 구민들의 안전한 보행거리 확보와 원활한 교통소통을 도모하고자 도로교통법 제32조, 제33조 및 제34조에 따라 관내 전지역을 순찰하며 위반차량을 단속하고 있습니다.
○ 서대문구 전지역에 대해 주차공간이 협소하고 공영주차장이 부족하여 배정 또한 어려운 점 등 귀하께서 민원요청 하신 사항에는 공감하는 바이지만, 상시순찰이 아닌 민원불편 신고가 접수되어 출동된 건으로 확인됩니다. 평일 17시 이후 또는 주말, 휴일은 민원불편 신고가 접수될 시 현장출동하여 조치를 하고 있습니다.
○ 아울러, 어린이보호구역은 특별구역으로 어린이보호구역 내 안전을 보다 더 강화하기 위해 2021년10월21일부터 도로교통법 개정으로 어린이보호구역이 주정차 금지구역에 포함되어 모든차에 대한 주정차가 원칙적으로 금지됨을 알려드립니다.
○ 주정차 단속의 궁극적인 목적이 도로상의 위험 발생 요인을 사전에 방지 및 제거함으로써 안전사고를 미연에 방지하고 보행 소통을 원활히 하고자 함입니다.
○ 따라서 예기치 못한 안전사고의 사전 예방을 먼저 생각해야 하는 점과 단속업무에서는 공정성과 객관성이 모두 요구되는 바, 단속을 완화하기에는 어려움이 있음을 양해하여 주시기 바랍니다.

귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가적인 문의사항이 있으실 경우 서울특별시 서대문구 스마트환경생활국 주차교통과 김용환 (☎ 02-330-1432)에게 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다.",1
206163,필라테스 회원권 환불지연,조OO,2025-11-27 08:49:16,"상호 끌로에 필라테스 북가좌점 주소 음암로 54 서부프라자빌딩 4층 전화번호 010, 010 1 계약 관련 사실 사항 최초 계약 시점 24년 8월 3일 1차 갱신 계약 시점 25년 2월 6일 기존 수강권 계약 변경에 따른 365,700원 추가금 입금그룹 개인 레슨으로 변경, 잔여 수강 금액 284,400원 2차 갱신 계약 시점 25년 7월 24일 결제 내용 25년 7월 24일 최초 결제현금 50만원, 카드 일시불 20만원, 카드 할부 100만원 25년 7월 28일 결제 변경카드 할부 100만원 현금 100만원1 최초 계약 시점 11 레슨과 그룹 레슨 계약, 사전에 11 수업의 시간 제약 사항에 대한 고지 없었음 2 최초 강사에게 11 레슨 후 그룹레슨 시작 제안 받아 수업 진행하려했으나, 강사의 스케줄로 평일 지정 시간이 아닌 유동적 시간 조율 요청 받음 3 24년 8월 3일 부터 25년 8월 25일까지 약 5차례의 강사 변경이 있었으며, 그중 1번을 제외하고 모두 강사의 퇴사로 강사 변경이 이루어짐 4 11 레슨 시 강사와 최초 수업은강사 변경 시 포함 강사와 회원간 운동 목적 및 현재 상황 등을 체크 해야하나 이중 평일 강사 교체된 2번의 경우 이 부분을 확인하지 않고 일방적인 수업 진행 5 7월경 일신상의 이유로 2개월 수강을 중지한 상황에서 재계약 진행 주말 강사님의 만족도로 수강권 연장 하는 것을 구두로 언급 6 8월 23일 운동 재시작을 위해 일정 잡는 과정에서 주말 강사의 퇴사 사실을 인지8월 13일경 기존 주말 강사님 문자 확인, 이에 대한 사업주 측에서 언급이 일체 없었을 뿐만 아니라 교체 강사 변경사항에 대한 알림 없음 7 8월 25일 기존 잦은 강사 변경, 강사 교체 시 수업에 대한 전문성, 재계약 당시 계약 사유 등을 근거로 사업주에 재계약 건의 환불을 메신저로 최초 요청 8 8월 26일 유선상으로 사업주 측에서 재계약의 사유주말 강사에 대한 부분 및 인수인계 과정에서의 실수를 인정 및 사과 후 환불에 대한 절차 확인을 이야기함통화 녹취 존재 당시 기존 수강권이 5회 남아 있었으며, 재계약한 수강권은 개시전기존 수강권 사용 완료 후 신규 수강권에 대한 시작일 조정을 8월 5일 요청 8 당시 기존 수강권은 유지, 개시전 재계약 수강권만 환불을 요청 9 이후 환불에 대한 절차 안내 등 연락이 없어 8월 31일 메신저로 진행 과정 문의, 9월 1일 통화 가능 시간을 확인요청하여 연락 가능한 시간 남겼으나 연락 부재, 9월 2일 익일 연락 주기로함. 10 9월 3일 오후 환불 절차에 대한 안내, 사업주측 수강권 결제 방법 문의. 11 9월 4일 세부적인 환불 절차를 안내, 어떠한 경우에도 계약 당일 해지가 아닌 경우 위약금을 제하고 환불 가능한 점을 고지함. 11 수강권 개시일 전, 사업주의 과실에 따른 환불 요청한 건으로 위약금을 제한 환불을 인정할 수 없어 이의를 제기 12 9월 5일 사업주 측은 단순 강사 변경으로 위약금 면제 불가하나 재확인을 말하여, 단순 강사 변경으로 계약 해지를 말한 것이 아니라 계약 당시의 조건, 조건 변경에 대한 사항에 대해 사업자의 계약자에게 미고지하고 변경안에 대한 협의 없던 점, 지속적인 강사 변경에 따른 커리큘럼 연속성 부재, 이에 대한 수강생의 피해 등을 고려하여 재확인을 요청함. 12 9월 8일 기존 수강권은 환불협의 마무리 후 수업 진행이 필요하다 판단, 기존 수강권 사용 중지 요청 13 9월 12일 재확인 사항 미고지로 사업주 측에 확인 내용에 대한 공유 요청, 사업주 해외로 당일 저녁 또는 익일 연락을 주기로 함 14 익일에도 연락이 없어 9월 14일 연락 가능 여부 확인 요청, 9월 16일까지 연락 없어 답변을 재요청 15 9월 17일 한국소비자원에 강사 변경에 의한 계약 해지로 답변 받은 문자 및 위약금 제외 환불 가능을 안내 16 9월 18일 한국 소비자원에 신청인이 상담신청 17 9월 22일 한국 소비자원으로 부터 답변을 받았으며, 사업주의 책임이 있더라도 계약서상에 해당 내용이 명시되어 있지 않은 경우 위약금 면제는 어려운 점을 안내 받음 18 9월 22일 사업주에게 위약금 면제가 불가한 부분을 인지하였음을 전하고, 최초 청구했던 미사용 이용권과 함께 잔여 수강권11 5회 분 포함하여 환분을 요청함 19 9월 24일, 26일, 30일 사업주 답변이 오지 않아 카카오톡 메신저로 답변 요청을 함 20 10월 2일 사업장 및 대표 휴대전화에서 신청자의 연락을 받지 않는 사유 확인 위해 사업장끌로에필라테스 북가좌점 방문하였으나, 강사만 있음을 확인. 대표 휴대전화는 사업주가 관리하고 있어 사업장에서 관리가 불가하고 사업장 전화는 강의 등으로 받지 못했다는 현장에 있던 강사의 답변을 받음. 당시 현장에 있던 강사가 사업주 개인 연락처로 연락을 취했으며, 전화연결이 되었고 4시 이후 연락을 주겠다는 답변을 받음 사업주는 4시 이후 문자 메세지로 연락을 주었으며, 19일 새벽 응급실 방문 후 20일 입원으로 연락이 불가하였다는 답을 줌 대표 휴대전화로 모든 고객의 응대 문의를 진행하고 있어 사업자가 입원 기간 동안 고객 응대를 하지 않았다는 것은 인정할 수 없음을 전하고 소명 요청 사업주는 관련 내용을 담당 매니저에게 전달 하였으나 담당 매니저의 사정으로 출근을 못했고, 신규문의 및 네이버예약건 등 본 휴대폰으로 소통했다는 답변을 받음 당시 해당 휴대폰으로 카카오톡 접속이 되지 않아 원하는 환불 내용을 알려달라고 하여, 환불 요구 내용에 대하여 재전달 사업주 병원 검사로 환불액에 대해 즉시 안내가 어려워 저녁 중으로 확인하여 연락주겠다고 최종 메세지 남김당시 카카오톡 사용 가능을 공유 받음 21 10월 3일, 10월 5일 답변이 없어 언제 연락을 줄껀지 각각 카카오톡과 문자로 남김 22 10월 10일 사업주 측으로 부터 이번주중으로 답변 주겠다는 메신저를 받음 23 10월 11일 신청자는 사업주로 부터 메신저가 온 다음날 내용을 확인하였고 이번주가 당장 내일익일이 일요일이었음임을 고지하고 내일까지 기다리겠다는 답변을 보냄 당시 사업주가 25분 정도 후 사업장을 나가고 있음을 답변하였으나 당일 연락 없었음 24 10월 12일 계좌 환불 금액에 대해 최종 502,000원임을 안내하였고 카드 결제건 취소를 위해 카드번호화 유효기간을 남겨달라고 함 결제일이 오래되 사업주측에서 취소처리가 필요하다는 안내를 줌영수증을 찍어 보내달라고 함 해외에 있어 익일 카드사 통화 후 연락 주기로 함 신청자는 사업주가 이야기한 결제분에 대해 재확인 중 결제 내역 오류를 인지하고 해당 내용에 대하여 사업주에게 전달계좌이체, 카드 결제 내역을 증빙함 위 명시한 결재 내용과 동일 사업주는 현금 환급분에 대해 미수강권 50만원, 기존 미사용 수강권 5회분으로 인지하였으나 현금 환급 필요 금액은 위약금 제외 1,502,000원임 연락 두절 25 10월 18일 연락이 언제되는지 확인 메신저 전달카카오톡 26 10월 20일 해외로 연락을 늦게 확인했다는 답변과 함께 당일 오후 연락 주겠다는 메신저를 받음 연락 없음 27 10월 21일 사업주는 카드번호를 재요청함, 당시 삼성페이로 결제하여 취소 시 방문 취소가 필요하다고 판단되어 내용을 전달하였으나 사업주는 실물카드 번호를 요청 신청자는 카드번호를 전달 하였으며 환불이 언제되는지 재문의 사업주는 본인 귀국후 처리가 가능하다는 안내와 함께 카드 취소는 당일 진행하고 귀국 날짜 역시 당일 중으로 공유줄 것을 전달함 신청자는 다른 인원이 처리가 불가한지 문의하였으나, 사업장 내 다른 인원 처리가 불가하다 답변함전산처리 및 위약금 계산 등 신청자는 처리 진행상황, 귀국 날짜 당일 오후 네시까지 전달을 요청하였으나 네시 이후 연락이 없어 사업주가 위치한 해외 기준 시간임을 문의 카드취소 요청하였으며, 평일기준 23일 소요되며 카드사 계좌번호를 받아 사업주가 입금해야 취소가 된다는 답변을 받음. 익일안으로 입금하여 처리하겠다고함 사업주가 좋지 못한 일로 해외에 있어 귀국 날짜는 그 주안에 결정될 것 같아 해당 주 내로 귀국일정을 안내하기로함 해당 시점 이후 연락이 늦어지는 일은 없다고 답변 받음 신청자는 환불건에 대해 금주안으로 처리를 요청함 28 10월 23일 사업주 답변이 없어 카드사 입금 여부를 묻는 메신저를 남겼으나 답변 없음 사업체 근무하는 강사에게 사업주 귀국하였음을 문자로 안내 받음 29 10월 28일 신청자는 우체국을 통해 내용증명 접수하였으며, 접수 내용에 대해 사업주의 카카오톡 메신저로 공유 이후 사업체 및 대표 휴대전화로 연락을 취하였으나 신청자의 연락은 받지 않음 신청자의 동생이 대표 휴대전화로 연락을 취하니 연결 후 5초 후 즉시 종료, 이후 콜백이와 당사자에게 연락할 것을 요청함사업주가 아닌 매니저가 연락을 받음 매니저가 5시 전까지 대표 위치 등 확인하여 신청자에게 연락을 주기로 하였으나 연락이 없음피신청인은 환불금액에 대한 협의를 완료하고 환불을 약속하였음에도 불구하고, 지속적으로 환불에 대한 답변 및 처리를 지연하고 있음.본건에 대한 즉시 협의된 환불액 1,702,000원에 대해 환급 처리를 요구함 30 11월 27일 현재까지 사업주는 연락이 없으며, 환불 처리 지연되고 있음",지역경제과,2025-12-04 13:55:03,김○○,"○ 안녕하십니까? 귀하께서 응답소(서대문구 새올행정정보시스템)를 통해 신청하신 민원(접수번호: 20251127900118)에 대한 검토 결과를 다음과 같이 알려드립니다.

○ 귀하께서는 필라테스 이용권을 2차례에 걸쳐 총 70회(개인30회, 개인40회) 계약을 체결하고 총 2,990,000원을 결제하였으며 2025년 8월경 이용권 잔여분(총 45회)에 대한 계약해지 및 환불을 요청하였으나 해당 업체가 현재까지 환불을 지연한 것에 대해 민원을 제기하셨습니다.

○ 해당 사업자에게 「방문판매 등에 관한 법률」(이하 “법”) 제31조, 제32조 및 제34조에 따라 소비자가 계약 해지를 요청할 경우 계속거래업자는 실 이용금액 및 법령상 규정된 위약금(총 계약대금의 10)을 공제한 나머지 금액을 환급금으로 지급해야 하며 이를 지연하거나 거부하는 행위는 법 위반행위임을 고지하고 소명자료를 요청할 예정입니다. 소명자료 검토 후 관련 법령에 따라 처리하도록 하겠습니다.

○ 서대문구 구정 발전에 관심을 가져주신 귀하께 다시 한 번 감사드리며, 귀하의 가정에 건강과 행운이 가득하시길 기원합니다. 더 궁금한 사항은 지역경제과 김하은(☎02-330-1925)에게로 연락주시면 성심성의껏 답변드리겠습니다. 감사합니다. 끝.",1
205738,은행나무 열매 악취문제,홍OO,2025-11-21 11:38:03,"매년 은행나무 열매가 일대를 악취로 고통받게 하고 있습니다. 이 문제를 해결해주실 수 있나요? 주소 서울특별시 서대문구 홍제천로 172, 홍연아파트 1동 연희동 은행나무",푸른도시과,2025-11-28 11:05:06,김○○,"새올상담민원에 대하여 아래와 같이 회신하고자 합니다.

1. 민원개요
○ 접수번호: 20251121900312
○ 민 원 인: 홍○○
○ 민원내용: 홍제천로 200-1 앞 은행나무 열매 불편

2. 회신내용
○ 평소 구정에 관심을 가지시고 적극 참여하여 주시는 점 진심으로 감사드립니다.

○ 신고하신 홍제천로 200-1 앞 은행나무 열매 낙과 관련하여, 2025. 11. 27.(목) 털기 작업을 완료하였음을 알려드립니다.

○ 아울러, 해당 가로수의 수나무 교체 방안도 적극 검토해 나가겠습니다.

○ 기타 궁금하신 사항은 서대문구청 푸른도시과 (담당자 김지연 ☎ 330-1963)로 문의하여 주시면 친절히 안내하여 드리겠습니다. 감사합니다. 끝.",1
205688,주차불편신고 담당자건,오OO,2025-11-20 18:01:34,그 전 민원에 ctrlcctrlv 제발 좀 그만하고 정확한 처리 답변 요청 하였는데 또 똑같이 붙여 넣기를 하셨네요 불편 신고 담당자 이주희씨 인사고과 반영 부탁드립니다 계속 이렇게 붙여 넣기 하시니 저 또한 붙여 넣기를 해야겠네요 더 기분 나쁘게 약 올리는 이 느낌은 저 혼자만 느끼는 건지 억지로 너 한번 먹어봐라 누가 이기나 해보자 이렇게 나오는 건지?? 언제까지 넣다가 똑같은 답변 캡처본 으로 민원 증명 보내겠습니다 정확한 불친절 직원 이주희씨의 인사고과 반영을 원합니다,주차교통과,2025-11-28 13:10:07,지○○,"안녕하십니까?
귀하께서 응답소(서대문구 새올행정정보시스템)를 통해 신청하신 민원(접수번호:
20251120900835)에 대한 검토 결과를 다음과 같이 알려드립니다.

가. 민원요지 : 직원의 불친절 응대에 대한 인사조치 요구
나. 답변내용
○ 먼저, 우리 직원의 응대로 불편을 겪으신 점에 대하여 다시 한번 사과드립니다.
○ 귀하께서 요구하신 인사조치와 관련하여 그동안 여러 차례 안내드린 바와 같이, 해당 사안은 내부 규정과 절차에 따라 검토되는 사항이며 개별 민원만으로 임의 조치할 수 있는 사항이 아님을 안내드린 바 있습니다.
○ 동일 내용의 민원이 반복 접수되고 있으나, 규정 상 가능한 범위 내에서 이미 최대한의 안내를 드린 내용이며, 향후에도 동일한 내용의 답변을 드릴 수 밖에 없는 점에 대해 많은 양해바랍니다.
○ 다만, 귀하께서 느끼신 불편함을 가볍게 여기지 않고 유의하여 민원 응대에 더욱 신경 쓰도록 하겠습니다.
○ 기타 다른 문의사항이 있으실 경우 주차교통과(지성환, ☎ 330-1813)로 연락 주시기 바랍니다. 감사합니다. 끝.",1
205501,안산초등학교 정류장 온열의자 고장?,이OO,2025-11-18 12:01:17,"안산초등학교 정류장에 의자가 얼마전 부터 온열의자 처럼 보이는 스티커가 붙여졌으나, 온열기능은 안되고 있습니다. 그래서 실망하고 있었는데, 그 옆 무악재역 정류장에도 동일한 상황이었는데, 거기는 온열기능이 작동하고 있더라구요.. 왜 안산초등학교 정류장에만 온열기능이 없는지 궁금합니다. 사진처럼 온열의자인것처럼 혼란스럽게 스티커만 붙여놓으니.. 겉만 그럴싸하게 만든 것 같네요..",서울특별시,,,,1
204854,서대문센트럴 아이파크 고지대 단지 열선 설치 및 안전대책 조속한 조치 요청,박OO,2025-11-17 10:32:35,"안녕하세요. 저는 2025년 7월 초에 입주한 서대문센트럴 아이파크 거주자입니다. 현재 단지는 지형이 매우 높은 위치에 있어, 계절과 관계없이 도로 및 경사면이 빠르게 결빙될 위험이 상존하고 있습니다. 실제로 지금처럼 비교적 따뜻한 날씨에도 미끄럼 위험이 자주 발생하고 있어, 겨울철에는 더욱 심각한 사고로 이어질 가능성이 큽니다. 특히 2단지는 경사가 가파르고 차량 및 보행 통행량이 많은 구조이기 때문에, 열선 설치는 선택이 아닌 필수적인 안전장치입니다. 그런데도 예산 부족을 이유로 설치가 지연되고 있다는 설명은 주민 입장에서는 매우 납득하기 어렵습니다. 안전은 비용으로 미루거나 타협할 수 있는 문제가 아니며, 사고 발생 후 대응하는 방식은 행정의 기본 원칙에도 맞지 않습니다. 또한 최근 타 자치구 및 인근 신축 단지들은 이미 열선을 포함한 결빙방지 시설을 기본적으로 갖추고 있습니다. 서대문구에서도 주민 안전과 예방적 관리 차원에서 동일한 수준의 조치를 제공해야 한다고 생각합니다. 따라서 다음 사항에 대해 조속한 검토와 즉각적인 행정 조치를 요청드립니다. 1. 서대문센트럴 아이파크 주요 경사로 및 위험 구역에 대한 열선 설치 계획 수립 및 시행 일정 공개 2. 예산을 이유로 한 지연이 아닌, 긴급 예산 편성 또는 대체 재원 확보 방안 검토 3. 열선 설치 전까지 책임 있는 임시 미끄럼 방지 조치염화칼슘 자동살포, 미끄럼 방지 매트 등 시행 4. 향후 동일한 위험요소에 대한 지속적인 점검 및 공개적인 커뮤니케이션 계획 마련 서대문구의 가장 기본적인 책무는 주민의 생명과 안전 보호라고 생각합니다. 큰 사고가 발생하기 전에, 하루라도 빨리 실질적인 조치가 시행되기를 간절히 요청드립니다. 확실한 답변과 향후 계획을 빠르게 안내해 주시기 바랍니다. 감사합니다.",도로과,2025-11-24 10:55:09,임○○,"1. 민원개요
가. 민원위치 : 서대문센트럴아이파크아파트(홍은중앙로11길 31)
나. 민원요지 : 아파트 주변도로 열선 설치 요청

2. 답변내용
○ 항상 구정발전에 많은 협조와 관심을 가져주시는 귀하께 깊은 감사의 말씀을 드립니다.귀하께서 우리 구에 제출하신 서대문센트럴아이파크 아파트 주변 도로 미끄럼방지 및 열선 설치 요청 건에 대해 답변드리겠습니다.
○ 해당구간은 현재 홍은제13구역 주택재개발 정비사업 진행중인 구간으로 아직 주변기반시설(도로) 공사가 완료되지 않은 상황입니다. 해당 기반시설이 인계되지 않은 현 상황에서 우리구에서 열선 설치히는 것은 불가함을 알려드립니다.
○ 해당구간은 향후 홍은제13구역 주택재개발 조합에서 그루빙 작업으로 미끄럼방지 대책을 시공할 예정이오니 참고 해주시기 바랍니다.
○ 추가적인 문의사항이 있으실 경우 서대문구 안전건설국 도로과 임승재 (☎ 02-330-1762)에게 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 끝",1
