법령일련번호,MST,구분,문장번호,내용
002820,256037,조문,1,제1조(목적) 이 영은 「국민기초생활 보장법」에서 위임된 사항과 그 시행에 필요한 사항을 규정함을 목적으로 한다.
002820,256037,조문,2,제2조(개별가구)
002820,256037,항,3,"① 「국민기초생활 보장법」(이하 ""법""이라 한다) 제2조제8호에 따른 개별가구는 다음 각 호의 사람으로 구성된 가구로 한다. <개정 2015.4.20, 2015.12.31>"
002820,256037,호,4,1. 「주민등록법」 제6조제1항제1호에 따른 거주자 중 같은 법 시행령 제6조제1항에 따른 세대별 주민등록표에 등재(登載)된 사람(동거인은 제외한다)
002820,256037,호,5,2. 제1호 외의 사람으로서 다음 각 목의 어느 하나에 해당하는 사람
002820,256037,목,6,가. 제1호에 해당하는 사람의 배우자(사실상 혼인관계에 있는 사람을 포함한다. 이하 같다)
002820,256037,목,7,나. 제1호에 해당하는 사람의 미혼 자녀 중 30세 미만인 사람
002820,256037,목,8,다. 제1호에 해당하는 사람과 생계 및 주거를 같이 하는 사람(제1호에 해당하는 사람 중 생계를 책임지는 사람이 그의 부양의무자인 경우로 한정한다)
002820,256037,항,9,"② 제1항에도 불구하고 다음 각 호의 어느 하나에 해당하는 사람은 개별가구에서 제외한다. <개정 2015.4.20, 2016.11.29, 2022.6.21>"
002820,256037,호,10,1. 현역 군인 등 법률상 의무를 이행하기 위하여 다른 곳에서 거주하면서 의무 이행과 관련하여 생계를 보장받고 있는 사람
002820,256037,호,11,2. 다음 각 목의 어느 하나에 해당하는 사람으로서 조사를 시작한 날부터 역산하여 180일까지 통산하여 60일을 초과하여 외국에 체류하고 있거나 체류했던 사람
002820,256037,목,12,가. 법 제22조에 따른 조사의 대상이 되는 사람(법 제21조에 따른 급여 신청을 최초로 하는 사람은 제외한다)
002820,256037,목,13,나. 법 제23조에 따른 조사의 대상이 되는 수급자
002820,256037,호,14,"3. 「형의 집행 및 수용자의 처우에 관한 법률」 및 「치료감호 등에 관한 법률」 등에 따른 교도소, 구치소, 치료감호시설 등에 수용 중인 사람"
002820,256037,호,15,4. 법 제32조에 따른 보장시설에서 급여를 받고 있는 사람
002820,256037,호,16,5. 실종선고 절차가 진행 중인 사람
002820,256037,호,17,"6. 가출 또는 행방불명으로 경찰서 등 행정관청에 신고된 후 1개월이 지났거나 가출 또는 행방불명 사실을 특별자치시장ㆍ특별자치도지사ㆍ시장ㆍ군수ㆍ구청장(자치구의 구청장을 말하며, 이하 ""시장ㆍ군수ㆍ구청장""이라 한다)이 확인한 사람"
002820,256037,호,18,7. 그 밖에 제1항제1호에 해당하는 사람과 생계 및 주거를 달리한다고 시장ㆍ군수ㆍ구청장이 확인한 사람
002820,256037,조문,19,"제3조(차상위계층) 법 제2조제10호에서 ""소득인정액이 대통령령으로 정하는 기준 이하인 계층""이란 소득인정액이 기준 중위소득의 100분의 50 이하인 사람을 말한다."
002820,256037,조문,20,제3조의2
002820,256037,조문,21,제4조(수급권자에 해당하는 외국인의 범위) 법 제5조의2에 따라 수급권자가 될 수 있는 외국인은 「출입국관리법」 제31조에 따라 외국인 등록을 한 사람으로서 다음 각 호의 어느 하나에 해당하는 사람으로 한다.
002820,256037,항,22,
002820,256037,호,23,1. 대한민국 국민과 혼인 중인 사람으로서 다음 각 목의 어느 하나에 해당하는 사람
002820,256037,목,24,가. 본인 또는 대한민국 국적의 배우자가 임신 중인 사람
002820,256037,목,25,나. 대한민국 국적의 미성년 자녀(계부자ㆍ계모자 관계와 양친자관계를 포함한다. 이하 이 조에서 같다)를 양육하고 있는 사람
002820,256037,목,26,다. 배우자의 대한민국 국적인 직계존속과 생계나 주거를 같이 하는 사람
002820,256037,호,27,2. 대한민국 국민인 배우자와 이혼하거나 그 배우자가 사망한 사람으로서 대한민국 국적의 미성년 자녀를 양육하고 있는 사람 또는 사망한 배우자의 태아를 임신하고 있는 사람
002820,256037,조문,28,제5조(소득의 범위)
002820,256037,항,29,"① 법 제6조의3제1항 각 호 외의 부분에서 ""실제소득""이란 다음 각 호의 소득을 합산한 금액을 말한다. <개정 2012.4.17, 2012.12.21, 2014.6.30, 2015.4.20, 2015.12.31, 2016.6.21, 2018.9.18, 2019.10.15, 2020.12.22, 2021.6.29>"
002820,256037,호,30,"1. 근로소득: 근로의 제공으로 얻는 소득. 다만, 「소득세법」에 따라 비과세되는 근로소득은 제외하되, 다음 각 목의 급여는 근로소득에 포함한다."
002820,256037,목,31,가. 「소득세법」 제12조제3호더목에 따라 비과세되는 급여
002820,256037,목,32,나. 「소득세법 시행령」 제16조제1항제1호에 따라 비과세되는 급여
002820,256037,목,33,다. 「소득세법 시행령」 제12조제1호에 따라 비과세되는 급여 중 보건복지부장관이 정하는 금액 이상의 급여
002820,256037,호,34,2. 사업소득
002820,256037,목,35,"가. 농업소득: 경종업(耕種業), 과수ㆍ원예업, 양잠업, 종묘업, 특수작물생산업, 가축사육업, 종축업(種畜業) 또는 부화업과 이에 부수하는 업무에서 얻는 소득"
002820,256037,목,36,"나. 임업소득: 영림업, 임산물생산업 또는 야생조수사육업과 이에 부수하는 업무에서 얻는 소득"
002820,256037,목,37,다. 어업소득: 어업(양식업을 포함한다)과 이에 부수하는 업무에서 얻는 소득
002820,256037,목,38,"라. 기타사업소득: 도매업, 소매업, 제조업, 그 밖의 사업에서 얻는 소득"
002820,256037,호,39,3. 재산소득
002820,256037,목,40,"가. 임대소득: 부동산, 동산, 권리 또는 그 밖의 재산의 대여로 발생하는 소득"
002820,256037,목,41,나. 이자소득: 예금ㆍ주식ㆍ채권의 이자와 배당 또는 할인에 의하여 발생하는 소득 중 보건복지부장관이 정하는 금액 이상의 소득
002820,256037,목,42,다. 연금소득: 「소득세법」 제20조의3제1항제2호 및 제3호에 따라 발생하는 연금 또는 소득과 「보험업법」 제4조제1항제1호나목의 연금보험에 의하여 발생하는 소득
002820,256037,호,43,"4. 이전소득[차상위계층에 속하는 사람(이하 ""차상위자""라 한다)에 대해서는 생활여건 등을 고려하여 보건복지부장관이 정하여 고시하는 바에 따라 다음 각 목의 이전소득의 범위를 달리할 수 있다]"
