판례일련번호,구분,문장번호,내용
348068,판례내용,1,서 울 행 정 법 원
348068,판례내용,2,제 6 부
348068,판례내용,3,판 결
348068,판례내용,4,사 건 2021구합71403 요양기관 업무정지처분 등 취소
348068,판례내용,5,원 고 A
348068,판례내용,6,소송대리인 법무법인 반우
348068,판례내용,7,"담당변호사 정○, 이○"
348068,판례내용,8,피 고 1.보건복지부장관
348068,판례내용,9,소송대리인 정부법무공단
348068,판례내용,10,담당변호사 이산해
348068,판례내용,11,2.국민건강보험공단
348068,판례내용,12,변 론 종 결 2023.4.14.
348068,판례내용,13,판 결 선 고 2023.6.16.
348068,판례내용,14,주 문
348068,판례내용,15,"1.이 사건 소 중 2021.2.16.자 요양급여비용 205,350원 환수처분의 취소를 구하는 부분을 각하한다."
348068,판례내용,16,2.원고의 나머지 청구를 기각한다.
348068,판례내용,17,3.소송비용은 원고가 부담한다.
348068,판례내용,18,청 구 취 지
348068,판례내용,19,피고 보건복지부장관이 2020.12.23.
348068,판례내용,20,"원고에 대하여 한 60일의 요양기관 업무정지 처분, 2021.2.4."
348068,판례내용,21,"원고에 대하여 한 30일의 의료급여기관 업무정지 처분, 피고 국민건강보험공단이 2021.2.16."
348068,판례내용,22,"원고에 대하여 한 55,281,580원의 요양급여비용 환수처분을 각 취소한다."
348068,판례내용,23,이 유
348068,판례내용,24,1.처분의 경위
348068,판례내용,25,가.원고는 인천 계양구 B에서 국민건강보험법상 요양기관이자 의료급여법상 의료급여기관인 ‘C의원’(이하 ‘이 사건 의원’이라 한다)을 개설하여 운영하던 사람이다.
348068,판례내용,26,나.피고 보건복지부장관(이하 ‘피고 장관’이라 한다)은 2018.11.12.
348068,판례내용,27,"이 사건 의원에 대하여 조사대상기간을 총 12개월(2017.7.부터 2018.6.까지)로 정하여 현지조사를 실시한 후, 2020.12.23."
348068,판례내용,28,및 2021.2.4.
348068,판례내용,29,국민건강보험법 제98조 제1항 제1호 및 의료급여법 제28조 제1항 제1호에 따라 60일(2021.3.22.부터 2021.5.20.까지)의 요양기관 업무정지처분과 30일(2021.3.22.부터 2021.4.20.까지)의 의료급여기관 업무정지처분을 각 하였다.
348068,판례내용,30,"그 처분 이유는 별지 1 기재와 같다(이하 ‘비급여대상 진료 후 요양급여 비용 청구 및 약제비 부당청구’ 부분을 ‘① 처분사유’라 하고, ‘검사료 등 산정기준 위반청구’ 부분을 ‘② 처분사유’라 한다)."
348068,판례내용,31,다.이후 피고 국민건강보험공단(이하 ‘피고 공단’이라 한다)은 같은 사유로 2021.2.16.
348068,판례내용,32,"원고에게 국민건강보험법 제57조에 근거하여 55,076,230원의 요양급여비용 환수처분을 하였다(이하 각 업무정지처분 및 환수처분을 총칭하여 ’이 사건 각 처분‘이라 한다)."
