해석례일련번호,구분,문장번호,내용
327115,질의요지,1,"「청소년복지 지원법」 제4조제1항 및 같은 법 시행규칙 제2조제2항에 따르면 청소년증 및 청소년증 발급신청 확인서는 특별자치시장·특별자치도지사 또는 시장·군수·구청장(구청장의 경우 자치구의 구청장을 말하고, 이하 “시장·군수 또는 구청장”이라 함)이 발급하도록 되어 있고, 「청소년복지 지원법 시행규칙」 별지 제2호서식 청소년증 발급신청 확인서의 발급 시 유의사항에서는 “반드시 기관장의 관인으로 간인”하고 “사진을 포함한 인적사항·발급번호·유효기간은 투명스티커”를 덧붙이도록 하고 있는바,"
327115,질의요지,2,"가.내부위임에 따라 읍ㆍ면ㆍ동 주민센터 또는 행정복지센터에서 청소년증 발급신청 확인서를 발급하는 경우 읍장ㆍ면장ㆍ동장의 공인(公印)1)1)「청소년복지 지원법 시행규칙」 별지에서는 기관장의 “관인”이라고 되어 있는바, 「행정 효율과 협업 촉진에 관한 규정」에 따르면 관인은 행정기관에서 사용하는 것이고(제33조) 행정기관에는 지방자치단체의 기관이 포함되나(제2조) 같은 규정 제40조에 따르면 지방자치단체의 기관에서 사용하는 관인은 공인이라고 하므로, 지방자치단체의 장에게 확인서의 발급권한이 있는 이 사안에서는 “공인”이라는 표현을 사용함.으로 간인할 수 있는지?"
327115,질의요지,3,나.청소년증 발급신청 확인서를 전산조직으로 출력하여 발급하는 경우에도 투명스티커를 덧붙여야 하는지?
327115,질의요지,4,< 질의 배경 >
327115,질의요지,5,여성가족부에서는 위 질의요지에 대해 내부 이견이 있어 법제처에 법령해석을 요청함.
327115,회답,6,가.질의 가에 대하여
327115,회답,7,이 사안의 경우 읍장ㆍ면장ㆍ동장의 공인으로 간인할 수 있습니다.
327115,회답,8,나.질의 나에 대하여
327115,회답,9,이 사안의 경우 청소년증 발급신청 확인서를 전산조직으로 출력하여 발급하는 경우에도 투명스티커를 덧붙여야 합니다.
327115,이유,10,가.질의 가에 대하여
327115,이유,11,"「청소년복지 지원법」 제4조제1항에서는 시장·군수 또는 구청장은 9세 이상 18세 이하의 청소년에게 청소년증을 발급할 수 있다고 규정하고 있고, 같은 법 시행규칙 제2조에서는 청소년증의 발급 신청 절차를 규정하면서 청소년증 발급신청서를 제출받은 시장·군수 또는 구청장은 신청인이 청소년증 발급 전에 임시증명서로 활용하기 위하여 청소년증 발급신청 확인서 발급을 요청하는 경우에는 별지 제2호서식에 따른 청소년증 발급신청 확인서를 발급하도록 규정하고 있습니다."
