부서명,소속,직위,전화번호,담당업무
조성명,구청장,구청장,02-3423-5000,구청장
정책홍보실,정책홍보실,실장,02-3423-6050,정책홍보실 업무 총괄
정책홍보실,언론팀,팀장,02-3423-5091,○ 언론팀 업무 총괄
정책홍보실,언론팀,주무관,02-3423-5083,"- 구정 보도자료 작성 총괄 - 주요 일간지 분석 및 기획,특집기사 작성 - 인터뷰 및 인사말씀 자료작성 지원 - 언론사 자료 제공 및 취재 지원"
정책홍보실,언론팀,주무관,02-3423-5086,-언론보도 스크랩 및 분석 -매체 구독 및 광고 관리 -구정 보도 실적 관리 -언론사 자료 제공 및 취재 지원
정책홍보실,언론팀,주무관,02-3423-5082,"- 구청장 인터뷰 자료 작성 - 홈페이지 기사, 카드뉴스 등 작성 - 보도자료(동) 작성 및 배포"
정책홍보실,언론팀,주무관,02-3423-5087,"- 주요행사 인사말씀 및 기념사 작성 - 홈페이지 기사, 카드뉴스 등 작성 - 보도자료 작성 지원"
정책홍보실,언론팀,주무관,02-3423-5085,"서무, 재무, 홈페이지, 충무계획 단체 : 통장협의회"
정책홍보실,홍보팀,팀장,02-3423-6361,○ 홍보팀 업무총괄
정책홍보실,홍보팀,주무관,02-3423-5094,"○ 구정 홍보계획 수립 ○ 구정소식지(지면・웹진) 발행 총괄 ○ 구정소식지 기획, 자료수집, 기사작성, 취재 등 ○ 구정소식지 명예기자 운영 및 관리"
정책홍보실,홍보팀,주무관,02-3423-5099,"○ 신규 홍보사업 기획 및 발굴 ○ 구 홍보물 제작 및 관리 ○ 구 상징물 관리, 홍보대사 운영 ○ 강남구 함께가게 운영 ○ 기타 타 직원에 속하지 않는 업무"
정책홍보실,홍보팀,주무관,02-3423-5118,"○ 구정소식지 자료수집 및 배포, 편집위원회 운영 ○ 콘텐츠 공모전(숏폼,인스타툰）운영 ○ 네이버 브랜드 검색 광고 운영 ○ 뉴스터치 문자알림 발송"
정책홍보실,홍보팀,주무관,02-3423-5117,○ 구 SNS 운영 및 콘텐츠 기획・관리 ○ 구 SNS 온・오프라인 이벤트 기획 및 추진 ○ 카카오 이모티콘 제작 및 배포 ○ 강남소식통 운영 및 관리
정책홍보실,홍보팀,주무관,02-3423-5116,"○ SNS・미디어 콘텐츠(OAP, 카드뉴스 등) 디자인 제작 ○ 인쇄 홍보물・패키지(포스터) 디자인 제작"
정책홍보실,홍보팀,주무관,02-3423-7428,"○ 주민등록, 가족관계등록 신고, 주민전산관리"
정책홍보실,뉴미디어팀,팀장,02-3423-5095,뉴미디어팀 업무 총괄
정책홍보실,뉴미디어팀,주무관,02-3423-5093,"○ 미디어매체 활용 구정 홍보(디지털전광판, 옥외전광판, 아파트 E/V모니터, PDP, 무인민원발급기 활용 홍보/ 실비지원 매체 표출점검) ○ 대중교통 미디어 활용 구정 홍보 ○ 각종 회의자료 및 업무보고 자료 작성 ○ 팀 주요업무계획 ○ 기타 타 직원에 속하지 않은 업무"
정책홍보실,뉴미디어팀,주무관,02-3423-5103,-강남구 인터넷방송국(강남라이프TV) 운영・관리 -강남구 인터넷 방송국 운영자문위원회 운영 -구 정책홍보 영상 기획・제작 -부서 요청 영상 제작
정책홍보실,뉴미디어팀,주무관,02-3423-5102,"-구 주요 행사 및 보도용 사진 촬영・편집 -사진 아카이브 관리 -홈페이지 사진 관리('오늘의 포토', '구민과 함께')"
정책홍보실,뉴미디어팀,주무관,02-3423-5088,"-강남구 유튜브 채널 운영・관리 -기획 영상(정보, 뉴스) 기획・제작 -구청 로비 대형 전광판 및 가로형 전광판 영상 표출・관리"
정책홍보실,뉴미디어팀,주무관,02-3423-5101,"-기획 영상(정보, 뉴스) 기획・제작 -사내 방송 제작 -영상 아카이브 관리 및 뉴미디어팀 영상 파일 관리 -취재용 차량 관리(차량일지) -사진 촬영・편집"
정책홍보실,뉴미디어팀,주무관,02-3423-5089,-강남구 인터넷방송국(강남라이프TV) 뉴스 진행 -구 주요행사 사회 대본 작성 및 진행 -영상 콘텐츠 대본 작성 및 더빙
비서실,비서실,비서실장,02-3423-5004,비서실 업무 총괄
비서실,비서실,팀장,02-3423-5002,비서실 민원 처리
비서실,비서실,주무관,02-3423-5003,비서 업무
비서실,비서실,주무관,02-3423-5008,비서실 업무 지원
비서실,비서실,주무관,02-3423-5009,비서 업무
비서실,비서실,주무관,02-3423-5000,비서실 업무 지원
부구청장,부구청장,부구청장,02-3423-5011,강남구청 업무 총괄 및 구청장 직무 대행
감사담당관,감사담당관,담당관,02-3423-5120,감사담당관 업무 총괄
감사담당관,감사팀,팀장,02-3423-5121,○ 감사팀 업무 총괄 ○ 특명(정보)사항 조사
감사담당관,감사팀,주무관,02-3423-5123,○ 연간 감사계획 수립・시행 ○ 행정국・미래문화국・구의회 감사총괄 및 징계・소송업무 ○ 강남구 행정감사 규칙 및 징계양정 규정 관련업무 ○ 징계(처분)대장 관리 총괄 ○ 구청장(부구청장) 특명사항(특정감사・조사・점검 등) 처리
감사담당관,감사팀,주무관,02-3423-5125,"○ 주요업무계획 및 각종 보고자료 등 작성 ○ 서울시, 행정안전부 및 기타 외부기관 감사 관련 업무 ○ 안전교통국・보건소・문화재단 감사총괄 및 징계・소송업무 ○ 구청장(부구청장) 특명사항(특정감사・조사・점검 등) 처리"
감사담당관,감사팀,주무관,02-3423-5124,○ 감사원 감사 관련 업무 ○ 기획경제국・도시관리공단・복지재단 감사총괄 및 징계ㆍ소송업무 ○ 공공감사정보시스템 관리 ○ 구청장(부구청장) 특명사항(특정감사・조사・점검 등) 처리
