부서,페이지,정보
감사담당관,1,감사담당관 | 감사담당관 | 감사담당관 업무 총괄 | 02-2116-2520
감사담당관,1,감사담당관 | 주무관 | -교육경비(유치원) -초중고 입학준비금 지원 -사립유치원 지원 -유치원 무상급식 지원 | 02-2116-3237
감사담당관,1,감사담당관 / 감사팀 | 감사팀장 | 감사팀 업무 총괄 | 02-2116-3057
감사담당관,1,감사담당관 / 감사팀 | 주무관 | 과 서무 | 02-2116-3053
감사담당관,1,"감사담당관 / 감사팀 | 주무관 | • 자체감사 총괄계획 수립, 사후관리 총괄 • 감사원 자체감사활동 심사평가 업무 • 자체감사업무 추진 및 사후관리 • 공공감사정보시스템 운영 총괄, 동북4구 감사업무 • 감사자문위원회 운영 • 일상감사 및 계약원가심사 | 02-2116-3056"
감사담당관,1,감사담당관 / 감사팀 | 주무관 | ☞ 감사원 감사 ☞ 청백 e시스템 운영 | 02-2116-3051
감사담당관,1,"감사담당관 / 감사팀 | 주무관 | • 일상감사 및 계약원가심사 총괄 계획 수립 • 일상감사 (계약분야 중 공사와 용역) • 계약원가심사 (공사, 용역, 설계변경) • 관급 건설공사 하도급부조리신고센터 운영 • 서울시 안전감사담당관 업무 (재난, 안전 제외) • 감사업무 지원 | 02-2116-3061"
감사담당관,1,감사담당관 / 청렴감사팀 | 청렴감사팀장 | 청렴감사팀 업무 총괄 | 02-2116-3069
감사담당관,1,"감사담당관 / 청렴감사팀 | 주무관 | ❍ 자체감사업무(민간위탁, 보조금) 추진 및 사후관리 (주민복지국, 안전교통건설국, 힐링도시국, 탄소중립국) ❍ 공직기강에 관한 사항 ❍ 출장여비 및 초과근무수당 점검 ❍ 부패 취약분야 모니터링(해피콜) ❍ 주민 감사청구에 관한 사항 ❍ 타 직원에 속하지 않은 감사업무 | 02-2116-3067"
감사담당관,1,"감사담당관 / 청렴감사팀 | 주무관 | ❍ 반부패 청렴시책 추진 (종합계획, 청렴교육, 청렴문화 확산 및 인식개선 등) ❍ 공공기관 청렴도 평가 업무 (권익위 평가) ❍ 이해충돌방지법, 청탁금지법 제반 업무 ❍ 행동강령 업무(점검, 외부강의 신고 등) ❍ 공공재정환수법 제반 업무 | 02-2116-3072"
감사담당관,2,"감사담당관 / 청렴감사팀 | 주무관 | ❍ 자체감사업무(민간위탁, 보조금) 추진 및 사후관리 총괄 ❍ 적극행정에 관한 사항 ❍ 부패영향평가 ❍ 주민 감사청구에 관한 사항 | 02-2116-3068"
감사담당관,2,감사담당관 / 조사팀 | 조사팀장 | 조사팀 업무 총괄 | 02-2116-3062
감사담당관,2,"감사담당관 / 조사팀 | 주무관 | - 지시사항 조사처리 및 기획조사 - 제설, 한파, 수방 등 재난업무 - 구민감사관 운영 - 주요시설 및 주요행사 운영실태 점검 - 인권 업무 총괄 | 02-2116-3060"
감사담당관,2,감사담당관 / 조사팀 | 주무관 | ❍ 지시사항 조사처리 및 기획조사 ❍ 인권침해 관련 조사 ❍ 외부기관(검경) 통보사항 처리 ❍ 주요시설 및 주요행사 운영실태 점검 ❍ 부실시공·공익제보 신고센터 운영 ❍ 언론보도 및 동향보고 사항 처리 | 02-2116-3049
