No,대분류(국/과),팀명,직위/이름,담당업무,전화번호,기타
1,감사담당관,감사담당관,감사담당관,감사담당관 업무 총괄,02-2116-2520
2,감사담당관,감사담당관,주무관,-교육경비(유치원) -초중고 입학준비금 지원 -사립유치원 지원 -유치원 무상급식 지원,02-2116-3237
3,감사담당관,감사담당관 / 감사팀,감사팀장,감사팀 업무 총괄,02-2116-3057
4,감사담당관,감사담당관 / 감사팀,주무관,과 서무,02-2116-3053
5,감사담당관,감사담당관 / 감사팀,주무관,"• 자체감사 총괄계획 수립, 사후관리 총괄 • 감사원 자체감사활동 심사평가 업무 • 자체감사업무 추진 및 사후관리 • 공공감사정보시스템 운영 총괄, 동북4구 감사업무 • 감사자문위원회 운영 • 일상감사 및 계약원가심사",02-2116-3056
6,감사담당관,감사담당관 / 감사팀,주무관,☞ 감사원 감사 ☞ 청백 e시스템 운영,02-2116-3051
7,감사담당관,감사담당관 / 감사팀,주무관,"• 일상감사 및 계약원가심사 총괄 계획 수립 • 일상감사 (계약분야 중 공사와 용역) • 계약원가심사 (공사, 용역, 설계변경) • 관급 건설공사 하도급부조리신고센터 운영 • 서울시 안전감사담당관 업무 (재난, 안전 제외) • 감사업무 지원",02-2116-3061
8,감사담당관,감사담당관 / 청렴감사팀,청렴감사팀장,청렴감사팀 업무 총괄,02-2116-3069
9,감사담당관,감사담당관 / 청렴감사팀,주무관,"❍ 자체감사업무(민간위탁, 보조금) 추진 및 사후관리 (주민복지국, 안전교통건설국, 힐링도시국, 탄소중립국) ❍ 공직기강에 관한 사항 ❍ 출장여비 및 초과근무수당 점검 ❍ 부패 취약분야 모니터링(해피콜) ❍ 주민 감사청구에 관한 사항 ❍ 타 직원에 속하지 않은 감사업무",02-2116-3067
10,감사담당관,감사담당관 / 청렴감사팀,주무관,"❍ 반부패 청렴시책 추진 (종합계획, 청렴교육, 청렴문화 확산 및 인식개선 등) ❍ 공공기관 청렴도 평가 업무 (권익위 평가) ❍ 이해충돌방지법, 청탁금지법 제반 업무 ❍ 행동강령 업무(점검, 외부강의 신고 등) ❍ 공공재정환수법 제반 업무",02-2116-3072
11,감사담당관,감사담당관 / 청렴감사팀,주무관,"❍ 자체감사업무(민간위탁, 보조금) 추진 및 사후관리 총괄 ❍ 적극행정에 관한 사항 ❍ 부패영향평가 ❍ 주민 감사청구에 관한 사항",02-2116-3068
12,감사담당관,감사담당관 / 조사팀,조사팀장,조사팀 업무 총괄,02-2116-3062
13,감사담당관,감사담당관 / 조사팀,주무관,"- 지시사항 조사처리 및 기획조사 - 제설, 한파, 수방 등 재난업무 - 구민감사관 운영 - 주요시설 및 주요행사 운영실태 점검 - 인권 업무 총괄",02-2116-3060
14,감사담당관,감사담당관 / 조사팀,주무관,❍ 지시사항 조사처리 및 기획조사 ❍ 인권침해 관련 조사 ❍ 외부기관(검경) 통보사항 처리 ❍ 주요시설 및 주요행사 운영실태 점검 ❍ 부실시공·공익제보 신고센터 운영 ❍ 언론보도 및 동향보고 사항 처리,02-2116-3049
15,감사담당관,감사담당관 / 조사팀,주무관,❍ 재산등록 관련 업무 ❍ 취업제한 퇴직공직자 관리 ❍ 공직자윤리위원회 운영 ❍ 비위사실 조회 관련 업무,02-2116-3052
16,감사담당관,감사담당관 / 구민소통팀,구민소통팀장,구민소통팀 업무 총괄,02-2116-0684
17,감사담당관,감사담당관 / 구민소통팀,주무관,- 전자민원관리(서울시 응답소 일반민원) 및 처리실태 확인 - 고충민원 직접 조사 (응답소 일반민원),02-2116-3065
18,감사담당관,감사담당관 / 구민소통팀,주무관,"· 전자민원관리 (새올상담민원) 및 처리실태 확인 · 민원서비스 개선 (메뉴얼개발, 교육 등) · 고충민원 직접 조사 (새올 상담민원) · 구청장에게 바란다 · 방문/전화/팩스민원 접수",02-2116-3063
19,감사담당관,감사담당관 / 구민소통팀,주무관,구청장에게 바란다,02-2116-3064
20,미디어홍보담당관,미디어홍보담당관,미디어홍보담당관,미디어홍보담당관 업무 총괄,02-2116-3440
21,미디어홍보담당관,미디어홍보담당관,주무관,팀 서무,02-2116-2530
22,미디어홍보담당관,미디어홍보담당관 / 언론팀,언론팀장,언론팀 업무 총괄,02-2116-3499
23,미디어홍보담당관,미디어홍보담당관 / 언론팀,주무관,"• 과서무 • 보도자료, 포토뉴스 등",02-2116-3421
24,미디어홍보담당관,미디어홍보담당관 / 언론팀,주무관,언론 보도,02-2116-3420
25,미디어홍보담당관,미디어홍보담당관 / 언론팀,주무관,❍ 언론보도,02-2116-3422
26,미디어홍보담당관,미디어홍보담당관 / 언론팀,주무관,"○ 각종 행사 사진 촬영 및 구청장 24시 사진 게재.관리 ○ 청사 및 동 주민센터 홍보게시판 사진 관리 ○ 각종 사진 DB구축․관리, 보도자료 작성 및 사진 제공 ○ 신문스크랩, 주말사진촬영",02-2116-3419
27,미디어홍보담당관,미디어홍보담당관 / 홍보팀,홍보팀장,주차장관리팀 업무 총괄,02-2116-4103
28,미디어홍보담당관,미디어홍보담당관 / 홍보팀,주무관,소식지 기획 및 제작 구보발행,02-2116-3414
29,미디어홍보담당관,미디어홍보담당관 / 홍보팀,주무관,"홈페이지 컨텐츠, 홍보 활성화",02-2116-3424
30,미디어홍보담당관,미디어홍보담당관 / 홍보팀,주무관,"○ 소식지 등 디자인 및 편집, 인터넷 게시 ○ 구 상징물 관리, 옥외 광고탑, 각종 홍보물 유지·관리 ○ 신나는 노원여행 발간, 직원 명함제작 관리 ○ 각종 홍보물 디자인, 기타 홍보용 자료작성 및 지원 ○ 소식지 원고작성 및 수합, 사진촬영 및 배포 관리",02-2116-3418
31,미디어홍보담당관,미디어홍보담당관 / 뉴미디어팀,뉴미디어팀장,뉴미디어팀 업무 총괄,02-2116-3406
32,미디어홍보담당관,미디어홍보담당관 / 뉴미디어팀,주무관,"○ 구 공식 SNS 운영(블로그, 인스타그램 등) ○ SNS용 구정 홍보 콘텐츠 제작 ○ 구정 홍보 관련 이미지 디자인",02-2116-3402
33,미디어홍보담당관,미디어홍보담당관 / 뉴미디어팀,주무관,○ 구 주요 행사 진행 ○ 콘텐츠 기획 및 리포팅 ○ 홍보 영상 제작 및 유튜브 관리 ○ 공식 뉴스레터 및 SNS 채널 운영,02-2116-3401
34,미디어홍보담당관,미디어홍보담당관 / 뉴미디어팀,주무관,○ 영상컨텐츠 기획 및 제작 ○ 전자게시판 DID 컨텐츠 운영관리 ○ 영상차량 운영 관리 ○ 공동주택 승강기 홍보영상 관리 ○ 노원구 거점홍보(KB전광판 등)관리,02-2116-3403
35,미디어홍보담당관,미디어홍보담당관 / 뉴미디어팀,주무관,노원마을미디어지원센터 업무 총괄 구민 마을 미디어 활동 지원 추진 대외 네트워크 추진,02-2116-3407
36,미디어홍보담당관,미디어홍보담당관 / 뉴미디어팀,주무관,"○ 노원마을미디어지원센터 미디어교육(기획, 운영, 강사양성 및 관리, 홍보) ○ 돌봄미디어교실 및 미디어체험 운영 ○ 마을미디어지원센터 세입관리 ○ 콘텐츠 제작 지원 및 멘토링",02-2116-3408
37,미디어홍보담당관,미디어홍보담당관 / 뉴미디어팀,주무관,"○ 미디어단체 및 동아리 활동 지원 ○ 콘텐츠 제작 관련 기술 지원, 상영회 운영 ○ 센터 시설 및 장비 관리 ○ 미디어 교육",02-2116-3412
38,문화도시행정국,문화도시행정국,문화도시행정국장,문화도시행정국 업무 총괄,02-2116-3140
39,문화도시행정국,문화도시행정국,주무관,녹색교통팀 업무 총괄,02-2116-3209
40,문화도시행정국,문화도시행정국,주무관,월계1동 업무 총괄,02-2116-2430
41,문화도시행정국,문화도시행정국,주무관,ㅇ 재무과 업무 총괄,02-2116-3470
42,문화도시행정국,문화도시행정국,주무관,복지1팀 업무 총괄,02-2116-2811
43,문화도시행정국,문화도시행정국,주무관,"-복지지원팀 업무총괄 -장제, 해산급여",02-2116-2261
44,문화도시행정국,문화도시행정국,주무관,월계2동 주민센터 업무 총괄,02-2116-2460
45,문화도시행정국,문화도시행정국,주무관,주민복지국 업무 총괄,02-2116-3017
46,문화도시행정국,문화도시행정국,주무관,운수지도팀 업무 총괄,02-2116-4047
47,문화도시행정국,문화도시행정국,주무관,- 통합조사관리1팀 업무총괄 - 복지급여 신청자 선정 및 적정 여부 관리 - 희귀난치성 질환자 보건소 통보 - 복지대상자 민원상담 및 사회복지 일반 업무,02-2116-3694
48,문화도시행정국,문화도시행정국,주무관,월계2동 주민센터 업무 총괄,02-2116-2460
49,문화도시행정국,문화도시행정국,주무관,주민복지국 업무 총괄,02-2116-3017
50,문화도시행정국,문화도시행정국,주무관,운수지도팀 업무 총괄,02-2116-4047
51,문화도시행정국,문화도시행정국,주무관,- 통합조사관리1팀 업무총괄 - 복지급여 신청자 선정 및 적정 여부 관리 - 희귀난치성 질환자 보건소 통보 - 복지대상자 민원상담 및 사회복지 일반 업무,02-2116-3694
52,문화도시행정국,문화도시행정국,주무관,서무,02-2116-4976
53,문화도시행정국,문화도시행정국,주무관,"서무(예산, 청사관리), 선거사무",02-2116-2462
54,문화도시행정국,문화도시행정국,주무관,• 과오납 환급,02-2116-3562
55,문화도시행정국,문화도시행정국,주무관,도로조명관리 가로등 보수 및 자재관리,02-2116-4136
56,문화도시행정국,문화도시행정국,주무관,"- 공릉1빗물펌프장 시설운영(기계) - 당현천가압장 시설운영(기계) - 간이펌프장, 수문점검관리",02-2116-4197
57,문화도시행정국,문화도시행정국,주무관,o 중계본동 업무 총괄,02-2116-2640
58,문화도시행정국,행정지원과,행정지원과장,○ 행정지원과 업무 총괄,02-2116-3100
59,문화도시행정국,행정지원과,인사팀장,인사팀 업무 총괄,02-2116-7171
60,문화도시행정국,행정지원과,주무관,o 여권접수 및 교부 o 온라인 발급 사진 확인,02-2116-3277
61,문화도시행정국,행정지원과,주무관,• 동 마을 축제운영 • 찾아가는 오케스트라 공연 지원,02-2116-7144
62,문화도시행정국,행정지원과,주무관,"동체육회, 경춘선힐링쉼터, 공구대여, 마을변호사",02-2116-2528
63,문화도시행정국,행정지원과,주무관,"기획재정국장, 교육복지국장 비서",02-2116-3016
64,문화도시행정국,행정지원과,주무관,,
65,문화도시행정국,행정지원과,주무관,,
66,문화도시행정국,행정지원과 / 총무팀,총무팀장,○ 총무팀 업무 총괄,02-2116-3086
67,문화도시행정국,행정지원과 / 총무팀,주무관,○ 국서무,02-2116-3084
68,문화도시행정국,행정지원과 / 총무팀,주무관,○ 예산 총괄,02-2116-3085
69,문화도시행정국,행정지원과 / 총무팀,주무관,"○ 행사, 의전, 군부대",02-2116-3081
70,문화도시행정국,행정지원과 / 총무팀,주무관,○ 청사관리 등,02-2116-3083
71,문화도시행정국,행정지원과 / 총무팀,주무관,○ 차량 관리 ○ 청사 대관,02-2116-3080
72,문화도시행정국,행정지원과 / 총무팀,주무관,○ 부구청장 비서실,02-2116-3012
73,문화도시행정국,행정지원과 / 총무팀,주무관,○ 청사관리실 근무,02-2116-4222
74,문화도시행정국,행정지원과 / 총무팀,주무관,○ 청사관리실 업무,02-2116-4221
75,문화도시행정국,행정지원과 / 총무팀,공무직,○ 청사관리실 근무,02-2116-4223
76,문화도시행정국,행정지원과 / 총무팀,주무관,○ 전기실 업무,02-2116-4214
77,문화도시행정국,행정지원과 / 총무팀,주무관,"○ 전기실 업무, 승강기 업무",02-2116-4215
78,문화도시행정국,행정지원과 / 총무팀,공무직,대.소강당 방송지원,02-2116-4238
79,문화도시행정국,행정지원과 / 총무팀,주무관,○ 기관실 업무,02-2116-4217
