부서명,팀명,직위,이름,전화번호,담당업무
감사담당관,청렴감사팀,감사담당관,○ 감사담당관 업무 총괄,02-3153-8160
감사담당관,청렴감사팀,청렴감사팀장,"○ 청렴감사팀 업무 총괄
○ 보건소 관련 소관 사항
○ 청렴도 향상 업무 총괄
○ 5급이상 공무원 처분 사항",02-3153-8151
감사담당관,청렴감사팀,주무관,"○ 청렴도 향상에 관한 총괄
○ 청렴교육
○ 청탁금지법 관련 업무
○ 이해충돌 방지 및 관리
○ 공무원 행동강령 운영",02-3153-8156
감사담당관,청렴감사팀,주무관,"○ 주요업무계획, 구의회 관련 업무 등
○ 감사업무 지원
○ 서무, 예산회계",02-3153-8152
감사담당관,청렴감사팀,주무관,"○ 종합감사 총괄
○ 일상감사(정책, 예산, 기타분야)
○ 행정지원국, 도시환경국, 공단 관련 소관사항
○ 사전컨설팅 감사 집행전말
○ 취약분야 특별감사 등 현안사항
○ 비위공무원 신분상 처분",02-3153-8153
감사담당관,청렴감사팀,주무관,"○ 공직기강 총괄
○ 동주민센터 종합감사
○ 이해충돌 방지 및 관리
○ 재단, 복지동행국 관련 소관사항
○ 공공재정환수 관련 업무
○ 재무감사 총괄",02-3153-8154
감사담당관,청렴감사팀,주무관,"○ 감사원 등 외부기관 관련사항 총괄
○ 공공기관 채용 실태조사
○ 관광경제국, 재정관리국, 교통건설국 관련 소관사항
○ 부패영향 평가
○ 특정(분야)감사 총괄
○ 공공감사정보시스템 관리",02-3153-8155
감사담당관,청렴감사팀,주무관,"○ 청렴도 상시확인 관리시스템(청렴톡) 운영
○ 적극행정 시책 등에 관한 업무
○ 제도개선, 인권관련 업무
○ 청렴관련 업무 지원 및 홍보
○ 자율적 내부통제(청백e시스템, 자기진단제도, 공직자자기관리시스템운영)",02-3153-8157
새마포담당관,새마포기획팀,새마포담당관,○ 새마포담당관 업무 총괄,02-3153-8510
새마포담당관,새마포기획팀,새마포기획팀장,○ 더좋은마포팀 업무 총괄,02-3153-8531
새마포담당관,새마포기획팀,새마포기획팀장,,
새마포담당관,새마포기획팀,주무관,"○ 구청장 연설문 작성？관리(타부서 행사)
○ 국제상 응모에 관한 업무
○ 구정 여론조사 및 정책개발
○ 주요업무 관리 및 보고회 개최
○ 현안사업 보고회 개최
○ 재정관리국, 환경녹지국, 공단 소관 현안사항 검토",02-3153-8507
새마포담당관,새마포기획팀,6급,,
새마포담당관,새마포기획팀,주무관,"○ 구청장 및 부구청장 지시사항 관리
○ 자치구 부구청장 회의(영상회의 포함)
○ 구정 비전 및 주요 정책 등 발표자료 작성
○ 대내외 구청장 연설문 작성·관리(구정질문 포함)
○ 구정운영 4개년 계획 수립
○ 복지동행국, 교육체육국, 복지재단 현안사항 검토
○ 구청장직 인수위원회에 관한 업무(슬로건 등 포함)",02-3153-8509
